i = 1  x = 1.50000000000000000000e+00  eps = 5.00000000000000000000e-01 
i = 2  x = 1.25000000000000000000e+00  eps = 2.50000000000000000000e-01 
i = 3  x = 1.12500000000000000000e+00  eps = 1.25000000000000000000e-01 
i = 4  x = 1.06250000000000000000e+00  eps = 6.25000000000000000000e-02 
i = 5  x = 1.03125000000000000000e+00  eps = 3.12500000000000000000e-02 
i = 6  x = 1.01562500000000000000e+00  eps = 1.56250000000000000000e-02 
i = 7  x = 1.00781250000000000000e+00  eps = 7.81250000000000000000e-03 
i = 8  x = 1.00390625000000000000e+00  eps = 3.90625000000000000000e-03 
i = 9  x = 1.00195312500000000000e+00  eps = 1.95312500000000000000e-03 
i = 10  x = 1.00097656250000000000e+00  eps = 9.76562500000000000000e-04 
i = 11  x = 1.00048828125000000000e+00  eps = 4.88281250000000000000e-04 
i = 12  x = 1.00024414062500000000e+00  eps = 2.44140625000000000000e-04 
i = 13  x = 1.00012207031250000000e+00  eps = 1.22070312500000000000e-04 
i = 14  x = 1.00006103515625000000e+00  eps = 6.10351562500000000000e-05 
i = 15  x = 1.00003051757812500000e+00  eps = 3.05175781250000000000e-05 
i = 16  x = 1.00001525878906250000e+00  eps = 1.52587890625000000000e-05 
i = 17  x = 1.00000762939453125000e+00  eps = 7.62939453125000000000e-06 
i = 18  x = 1.00000381469726562500e+00  eps = 3.81469726562500000000e-06 
i = 19  x = 1.00000190734863281250e+00  eps = 1.90734863281250000000e-06 
i = 20  x = 1.00000095367431640625e+00  eps = 9.53674316406250000000e-07 
i = 21  x = 1.00000047683715820312e+00  eps = 4.76837158203125000000e-07 
i = 22  x = 1.00000023841857910156e+00  eps = 2.38418579101562500000e-07 
i = 23  x = 1.00000011920928955078e+00  eps = 1.19209289550781250000e-07 
i = 24  x = 1.00000000000000000000e+00  eps = 5.96046447753906250000e-08 
